ID,x,y
0,-74.2419364,40.5108307
1,-74.1738965,40.5431936
2,-74.151384,40.550863
3,-74.2158394,40.5276945
4,-74.2158394,40.5276945
5,-74.1738965,40.5431936
6,-73.911499,40.56329
7,-73.911499,40.56329
8,-73.911499,40.56329
9,-74.117502,40.565824
10,-73.9848806,40.5772486
11,-73.9848806,40.5772486
12,-73.840809,40.578625
13,-73.9535755,40.5839408
14,-73.8123978,40.5896119
15,-73.948409,40.599692
16,-74.08926,40.612772
17,-73.6614431,40.5886904
18,-73.6124,40.5898
19,-73.6614431,40.5886904
20,-74.147909,40.607102
21,-74.147909,40.607102
22,-73.6614431,40.5886904
23,-73.7310234,40.5891582
24,-73.7562736,40.6021529
25,-74.0777495,40.5954465
26,-74.147909,40.607102
27,-73.5814321,40.591737
28,-73.5845,40.5888
29,-73.9722794,40.5978643
30,-73.9965659,40.6016407
31,-73.948409,40.599692
32,-73.9965659,40.6016407
33,-74.08926,40.612772
34,-73.7562736,40.6021529
35,-73.948409,40.599692
36,-73.8199,40.6065
37,-74.0777495,40.5954465
38,-73.655617,40.604294
39,-73.984354,40.617938
40,-74.147909,40.607102
41,-74.147909,40.607102
42,-73.920613,40.619326
43,-74.029804,40.623183
44,-74.147909,40.607102
45,-73.7465818,40.6156357
46,-74.0095094,40.6183066
47,-73.920613,40.619326
48,-73.732846,40.615798
49,-74.08926,40.612772
50,-73.6385591,40.6370892
51,-73.962954,40.6236283
52,-73.995223,40.633036
53,-74.08926,40.612772
54,-74.1154683,40.6318646
55,-74.1154683,40.6318646
56,-74.1594671,40.6322181
57,-73.714704,40.632591
58,-74.135512,40.631186
59,-74.0879117,40.6331925
60,-73.945715,40.631009
61,-74.0133144,40.6414317
62,-73.732846,40.615798
63,-73.6981348,40.6414562
64,-73.995223,40.633036
65,-73.9767856,40.6430203
66,-73.668514,40.641129
67,-73.668514,40.641129
68,-73.2620912,40.7385722
69,-74.0133144,40.6414317
70,-73.6385591,40.6370892
71,-73.610248,40.655184
72,-74.0133144,40.6414317
73,-73.6385591,40.6370892
74,-73.668514,40.641129
75,-73.2620912,40.7385722
76,-73.903342,40.643011
77,-73.586218,40.653151
78,-73.9573198,40.6465652
79,-73.6385591,40.6370892
80,-73.2620912,40.7385722
81,-73.6385591,40.6370892
82,-73.2620912,40.7385722
83,-73.9341253,40.650379
84,-73.668514,40.641129
85,-73.6415067,40.6649038
86,-73.9767856,40.6430203
87,-73.6385591,40.6370892
88,-74.003438,40.655384
89,-73.586218,40.653151
90,-73.668514,40.641129
91,-73.8473118,40.6640228
92,-73.713631,40.652935
93,-73.610248,40.655184
94,-73.675686,40.657857
95,-73.1571643,40.6458018
96,-73.6415067,40.6649038
97,-73.586218,40.653151
98,-73.1571643,40.6458018
99,-73.675686,40.657857
100,-73.586218,40.653151
101,-73.9552198,40.6621045
102,-73.1571643,40.6458018
103,-73.8473118,40.6640228
104,-73.713631,40.652935
105,-73.675686,40.657857
106,-73.675686,40.657857
107,-73.913938,40.661798
108,-73.675686,40.657857
109,-73.2620912,40.7385722
110,-73.586218,40.653151
111,-73.5354576,40.6745955
112,-73.6415067,40.6649038
113,-73.6415067,40.6649038
114,-73.610248,40.655184
115,-73.489431,40.677365
116,-73.6415067,40.6649038
117,-73.675686,40.657857
118,-73.704282,40.669856
119,-73.9827496,40.667436
120,-73.5354576,40.6745955
121,-73.75017,40.671426
122,-73.8950931,40.6687928
123,-73.554518,40.665464
124,-73.734708,40.662582
125,-73.5354576,40.6745955
126,-73.704282,40.669856
127,-73.554518,40.665464
128,-73.554518,40.665464
129,-73.8714478,40.6736161
130,-73.935404,40.671703
131,-73.704282,40.669856
132,-73.913938,40.661798
133,-73.084733,40.7361514
134,-73.586218,40.653151
135,-73.9827496,40.667436
136,-74.0020291,40.678734
137,-73.964223,40.680083
138,-73.489431,40.677365
139,-73.5354576,40.6745955
140,-73.4644109,40.6871853
141,-73.9827496,40.667436
142,-73.9199545,40.6787915
143,-73.935404,40.671703
144,-73.7988213,40.674697
145,-73.671209,40.67718
146,-73.8950931,40.6687928
147,-73.5863357,40.6808353
148,-73.084733,40.7361514
149,-73.4134749,40.6856884
150,-73.396605,40.682437
151,-73.8714478,40.6736161
152,-73.5089752,40.6891596
153,-74.0020291,40.678734
154,-73.5863357,40.6808353
155,-73.9787436,40.6829606
156,-73.5613,40.6877
157,-73.4644109,40.6871853
158,-73.9199545,40.6787915
159,-73.651724,40.6942433
160,-73.610248,40.655184
161,-73.8456124,40.6786209
162,-73.3705347,40.692089
163,-73.445682,40.680561
164,-73.9199545,40.6787915
165,-73.8235743,40.6874565
166,-73.9498627,40.6804242
167,-73.5863357,40.6808353
168,-73.4134749,40.6856884
169,-73.9787436,40.6829606
170,-73.6197,40.6849
171,-73.5395,40.6912
172,-73.5395,40.6912
173,-73.8950931,40.6687928
174,-73.856718,40.6926293
175,-73.9276808,40.6909509
176,-73.703361,40.702514
177,-73.396605,40.682437
178,-73.3705347,40.692089
179,-73.9641588,40.6935513
180,-73.990768,40.692991
181,-73.9276808,40.6909509
182,-73.8104927,40.7031136
183,-73.7597896,40.696887
184,-73.7882913,40.6986959
185,-73.990768,40.692991
186,-73.9641588,40.6935513
187,-73.833798,40.698077
188,-73.3705347,40.692089
189,-73.833798,40.698077
190,-73.3544827,40.7184407
191,-73.591326,40.702846
